list_id,movie_id,created_at,user_id
0fa2ec0f-52f0-448c-b27c-114930096102,bf8996e7-5317-4d96-b69c-0b8bc350a941,2026-01-28 04:23:04.790671+00,02e69be6-32eb-447e-9a0c-9469dc5ea41e
0fa2ec0f-52f0-448c-b27c-114930096102,eef51c92-1567-4bed-a176-68e85a7867aa,2026-01-28 04:23:33.802988+00,02e69be6-32eb-447e-9a0c-9469dc5ea41e
0fa2ec0f-52f0-448c-b27c-114930096102,fbb55cf9-7f1c-429e-8852-b43684e3ac46,2026-01-28 04:23:18.621709+00,02e69be6-32eb-447e-9a0c-9469dc5ea41e
99833803-2925-48f7-b0bb-7e82bd24b5f3,0f7ef0be-975a-4229-ba13-a0c779769467,2026-02-03 07:00:24.32447+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,0fde2bf0-140f-4e1f-b328-369c5e6698da,2026-02-03 07:02:46.406772+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,11e72916-1821-4132-af14-05f62f48f61b,2026-02-03 06:55:10.159937+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,13cef6f5-f645-4463-920b-e9150e66fc52,2026-02-03 06:55:24.107624+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,197021d8-e81e-4a97-a23b-e0f8c8e0cee5,2026-02-03 07:00:10.59358+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,2d00a912-602b-4c7b-bd95-1bc2968f326e,2026-02-03 07:00:44.459119+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,2fb1e8f9-8e88-4a09-b17f-ecec21024bcd,2026-02-03 06:59:06.80127+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,3c0b42b1-c63b-4721-80d9-dde309096411,2026-02-03 07:02:21.077008+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,3f5ee6dd-e3fd-4e84-8269-1ff8a8a8c735,2026-02-03 06:53:55.088185+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,417f300b-0eda-4911-98b2-ea2b3edb85bf,2026-02-03 06:53:39.527712+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,41ed2834-1748-4b37-a748-7965ba021030,2026-02-03 07:02:02.642323+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,4457c943-a504-4eb7-9e0a-6377810eba0e,2026-02-03 06:54:57.055334+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,46cd7820-d43b-4714-8fc2-a082f8205a44,2026-02-03 07:01:09.172328+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,476140dd-1186-4b00-a50a-e93ecc45d746,2026-02-03 06:55:35.285064+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,4f1a0ff1-b317-4867-b621-5ebde72d812b,2026-02-03 06:54:43.539128+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,4f86ddf6-aa04-4f00-b7ae-0dd101677825,2026-02-03 06:54:24.086352+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,58baaeb5-d63a-4539-8603-6545500bc202,2026-02-03 06:56:12.521159+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,5ac1f6da-e511-40a1-82a1-273e794dd0eb,2026-02-03 06:58:49.62254+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,6c7ded31-d2ad-4080-b25b-5ac6bc7ddbf2,2026-02-03 06:56:00.021395+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,72c665a5-4c8a-45ad-baf1-4ae527ce1f7d,2026-02-03 07:02:58.238559+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,82d99b16-18e6-4d75-b06c-7dfcae66fae2,2026-02-03 06:56:26.548541+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,8bcda306-c6f5-4b13-ae35-e655e22d00e2,2026-02-03 06:57:00.025207+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,90e2ffb3-2fa8-4644-8484-107576cf3077,2026-02-03 06:57:18.872601+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,abfb0d55-d51d-4f13-90d0-6ef670e7aa5b,2026-02-03 06:54:08.81985+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,acfd36cc-bd80-473e-8ff4-d6d06a6adf5b,2026-02-03 06:57:10.289199+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,b52a7729-5f51-4298-8a07-441d3f6874dc,2026-02-03 06:54:31.759849+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,c3aef98e-b349-437b-bdab-eb35ba74fefe,2026-02-03 07:00:33.88423+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,c6520718-de3c-4ace-b437-31dbfb6de9e0,2026-02-03 06:53:29.445194+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,cbbacd12-cac4-4f81-8c07-999601b604dd,2026-02-03 06:58:34.851394+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,d5327004-9b33-4656-8672-9c02c3d71398,2026-02-03 07:03:27.725353+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,d8ea2af1-8454-4123-bd76-b4a7839b2984,2026-02-03 06:59:55.262484+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,dfaf2e6f-6f24-4508-b7b1-b3ab65dfa8d7,2026-02-03 06:57:39.963219+00,7a19f60a-9864-42f9-91fa-96e5433218ee
99833803-2925-48f7-b0bb-7e82bd24b5f3,e173ce10-aa35-49f0-924f-ada25b129105,2026-02-03 07:03:15.435094+00,7a19f60a-9864-42f9-91fa-96e5433218ee
