movie_id,person_id,job,created_at
0f7ef0be-975a-4229-ba13-a0c779769467,35448a08-93f0-4ac9-80bb-8ac27fe975a9,Writer,2026-02-03 07:00:24.205531+00
0f7ef0be-975a-4229-ba13-a0c779769467,84a1ed9a-2b6e-4621-9597-9888a7eb5aca,Director,2026-02-03 07:00:24.205531+00
0f7ef0be-975a-4229-ba13-a0c779769467,a2a780d0-2cc1-4e7a-885e-e58b4d041a9b,Composer,2026-02-03 07:00:24.205531+00
0fc4294e-a739-432e-8e4d-5b11921b9af4,6733e04b-8560-43d8-9687-be49ae60a9e6,Writer,2026-01-25 23:23:34.15341+00
0fc4294e-a739-432e-8e4d-5b11921b9af4,7f394201-d9ac-4dfd-98ab-96165033d006,Composer,2026-01-25 23:23:34.15341+00
0fc4294e-a739-432e-8e4d-5b11921b9af4,85fdc67d-2a48-4a1b-8ece-2dfda8399856,Director,2026-01-25 23:23:34.15341+00
0fc4294e-a739-432e-8e4d-5b11921b9af4,8d2a0888-9507-4933-8a64-17d2f94f39cd,Writer,2026-01-25 23:23:34.15341+00
0fc4294e-a739-432e-8e4d-5b11921b9af4,8e7fd0b5-b005-41b2-8960-25ba7cfe8670,Writer,2026-01-25 23:23:34.15341+00
0fc4294e-a739-432e-8e4d-5b11921b9af4,904938c2-e1c2-4a85-99d1-65bc19b8b3d3,Writer,2026-01-25 23:23:34.15341+00
0fc4294e-a739-432e-8e4d-5b11921b9af4,bcb0a6e1-47c8-4132-9f0a-3357e7bdaa85,Writer,2026-01-25 23:23:34.15341+00
0fc4294e-a739-432e-8e4d-5b11921b9af4,cdc5186a-38b0-4b43-aa1b-39bc374e847e,Writer,2026-01-25 23:23:34.15341+00
0fc4294e-a739-432e-8e4d-5b11921b9af4,fd61d943-e1e5-435e-a54f-e348fd4bb234,Director,2026-01-25 23:23:34.15341+00
0fde2bf0-140f-4e1f-b328-369c5e6698da,5d4caa68-1844-484a-962a-965f3a09d00c,Writer,2026-02-03 07:02:46.348798+00
0fde2bf0-140f-4e1f-b328-369c5e6698da,8599a57e-0a51-4c8a-beb6-eeeb0b2f53de,Director,2026-02-03 07:02:46.348798+00
0fde2bf0-140f-4e1f-b328-369c5e6698da,ca2396a1-d8b9-45ac-a482-bcf9405e98f8,Composer,2026-02-03 07:02:46.348798+00
102f5c16-fe8f-4c45-a976-98fed55eb976,05561d3b-bf64-4752-b1cc-d2632e0ecbf2,Director,2026-01-25 23:23:34.15341+00
102f5c16-fe8f-4c45-a976-98fed55eb976,05561d3b-bf64-4752-b1cc-d2632e0ecbf2,Writer,2026-01-25 23:23:34.15341+00
102f5c16-fe8f-4c45-a976-98fed55eb976,a4fcd5b8-d0a1-4e61-9516-adabe7a1efdb,Composer,2026-01-25 23:23:34.15341+00
11e72916-1821-4132-af14-05f62f48f61b,744c5852-fad1-4bea-bfbb-546d007673d6,Writer,2026-02-03 06:55:09.974053+00
11e72916-1821-4132-af14-05f62f48f61b,a9159a9c-92b1-4066-a16d-c8384f7de946,Composer,2026-02-03 06:55:09.974053+00
11e72916-1821-4132-af14-05f62f48f61b,bf0397d7-aa84-43e7-9240-5e66eb582558,Director,2026-02-03 06:55:09.974053+00
13167567-f10a-4b1d-a5de-17b2812e400c,8eae82ef-0388-4989-aad5-1a2a86462708,Writer,2026-01-25 23:23:34.15341+00
13167567-f10a-4b1d-a5de-17b2812e400c,b5b9cf24-1efe-4d46-80a3-85727ee477b4,Director,2026-01-25 23:23:34.15341+00
13167567-f10a-4b1d-a5de-17b2812e400c,edf2bc1f-8d1f-4507-bc2d-cc0360f84dbe,Composer,2026-01-25 23:23:34.15341+00
13cef6f5-f645-4463-920b-e9150e66fc52,39b8ac46-36ae-4f0f-af9f-68806bfd3267,Writer,2026-02-03 06:55:24.036296+00
13cef6f5-f645-4463-920b-e9150e66fc52,794f1001-0ff8-4f92-ae35-3b4fccc401b6,Director,2026-02-03 06:55:24.036296+00
13cef6f5-f645-4463-920b-e9150e66fc52,c08497ee-df21-4dbc-9451-1109d52d3af0,Composer,2026-02-03 06:55:24.036296+00
13cef6f5-f645-4463-920b-e9150e66fc52,d1924e84-7cfa-4b29-8b16-94507a546171,Writer,2026-02-03 06:55:24.036296+00
153e220b-1af7-46e5-bb92-7be4975826fd,009ae8f7-5375-4fb3-a1b7-aafc92eeaebf,Composer,2026-01-25 23:23:34.15341+00
153e220b-1af7-46e5-bb92-7be4975826fd,4337a5ed-5aa2-42db-a9c7-ab0658987c31,Writer,2026-01-25 23:23:34.15341+00
153e220b-1af7-46e5-bb92-7be4975826fd,bbad0c60-2359-41df-a4ea-07e8a6c5d91d,Writer,2026-01-25 23:23:34.15341+00
153e220b-1af7-46e5-bb92-7be4975826fd,d7473248-f24d-4da7-94f4-567420402e6b,Composer,2026-01-25 23:23:34.15341+00
153e220b-1af7-46e5-bb92-7be4975826fd,ead36e3e-ab25-46cf-aeb3-ae28e77f192f,Writer,2026-01-25 23:23:34.15341+00
153e220b-1af7-46e5-bb92-7be4975826fd,f5c9decd-1e06-4734-bbe6-0cfc394fde66,Director,2026-01-25 23:23:34.15341+00
153e220b-1af7-46e5-bb92-7be4975826fd,f5c9decd-1e06-4734-bbe6-0cfc394fde66,Writer,2026-01-25 23:23:34.15341+00
16d53720-c0a6-456b-b41e-f921101768a7,f291e8cc-b7b4-4ea6-9cb8-d6ee0fb32fd7,Composer,2026-01-25 23:23:34.15341+00
16d53720-c0a6-456b-b41e-f921101768a7,fe47b6b7-6ce6-444c-ad86-969d2e031a0a,Director,2026-01-25 23:23:34.15341+00
16d53720-c0a6-456b-b41e-f921101768a7,fe47b6b7-6ce6-444c-ad86-969d2e031a0a,Writer,2026-01-25 23:23:34.15341+00
18448708-afde-4994-a0b4-a0e01ed2a3ab,5e25856a-5a21-4412-a696-b2bc9b708c94,Composer,2026-01-25 23:23:34.15341+00
18448708-afde-4994-a0b4-a0e01ed2a3ab,66b74186-371b-4ef1-b41e-ff3c8d9c16c4,Writer,2026-01-25 23:23:34.15341+00
18448708-afde-4994-a0b4-a0e01ed2a3ab,692f06c6-b654-4e0b-93cd-4c474ebbe424,Writer,2026-01-25 23:23:34.15341+00
18448708-afde-4994-a0b4-a0e01ed2a3ab,8a2f8473-3c6f-4547-b201-c1c750dc172a,Writer,2026-01-25 23:23:34.15341+00
18448708-afde-4994-a0b4-a0e01ed2a3ab,f9fa0f9d-ff15-466a-9484-3ab2f8abf04d,Director,2026-01-25 23:23:34.15341+00
197021d8-e81e-4a97-a23b-e0f8c8e0cee5,09fba9e5-cd3d-41f2-b640-e43a3376d51c,Writer,2026-02-03 07:00:10.484292+00
197021d8-e81e-4a97-a23b-e0f8c8e0cee5,b70c011c-2a63-430f-ba97-15219a10e0e5,Composer,2026-02-03 07:00:10.484292+00
197021d8-e81e-4a97-a23b-e0f8c8e0cee5,cb8ae65d-e0d9-460e-946a-8f2dd2321d5c,Director,2026-02-03 07:00:10.484292+00
